Event Name,Event Time,Status,External Url
MBA Center Presents: Success Story of Vinayak Kapoor IE Business School MBA,"May 15, 2021 10:00 AM - May 15, 2021 10:45 AM",APPROVED,https://docs.google.com/forms/d/1FYDQ9BMKuEOAvFnHb4touq4SoupsdY2kFQrLOwyt2qg/edit
LECTURE 7 | KEYS & CONSTRAINTS IN SQL  | LIVE CLASS | MON-FRI | 10PM-11PM |,"Oct 20, 2022 04:30 PM - Oct 20, 2022 05:30 PM",APPROVED,
LECTURE 30 | MASTERING NORMALIZATION | PART-2 | SQL | 10PM | LIVE | ,"Mar 31, 2023 04:30 PM - Mar 31, 2023 05:30 PM",APPROVED,
LECTURE 10 | DATE & TIME FUNCTIONS | LIVE CLASS | MON-FRI | 10PM-11 PM |,"Oct 25, 2022 04:30 PM - Oct 25, 2022 05:30 PM",APPROVED,
Machine Learning: from Training to Production ,"Jan 14, 2021 04:00 PM - Jan 14, 2021 05:00 PM",APPROVED,
LECTURE 26 | MASTER SELF JOIN | SQL | SNOWFLAKE | 10PM | LIVE | ,"Feb 06, 2023 04:30 PM - Feb 06, 2023 05:30 PM",APPROVED,
Free Workshop On Designing Speach Recognition System Using  Waveglow,"Jun 05, 2021 06:30 PM - Jun 06, 2021 08:30 AM",APPROVED,
LECTURE 18 | WINDOW FUNCTIONS | SQL | SNOWFLAKE | LIVE CLASS | 10 PM,"Nov 07, 2022 04:30 PM - Nov 07, 2022 05:30 PM",APPROVED,
LECTURE 29 | MASTER ER DIAGRAM | SQL | SNOWFLAKE | 10PM | LIVE | ,"Feb 22, 2023 04:30 PM - Feb 22, 2023 05:30 PM",APPROVED,
MASTER BLASTER SQL CONCEPTS ON SNOWFLAKE | DAILY LIVE CLASS | 10PM-11PM | ,"Oct 11, 2022 04:30 PM - Oct 11, 2022 05:30 PM",APPROVED,
LECTURE 21 | JOINS IN SQL | PART-1 | SNOWFLAKE | DAILY LIVE CLASS | ,"Dec 05, 2022 04:30 PM - Dec 05, 2022 05:30 PM",APPROVED,
UK's Virtual Tech Jobs Fair 2022,"Nov 29, 2022 01:00 PM - Nov 29, 2022 07:00 PM",APPROVED,https://techjobsfair.com/uk/
