Ad clicked Date,Ad Title/Id
2022/07/06 04:30:05 UTC,182210846
2022/04/21 07:19:12 UTC,179911296
2022/09/04 21:08:38 UTC,145111864
2022/09/16 07:05:36 UTC,212178836
2022/09/16 07:05:36 UTC,212178836
2022/09/16 07:05:36 UTC,212178836
2022/09/16 07:05:36 UTC,212178836
2022/06/01 11:23:17 UTC,174536884
2022/06/01 11:24:27 UTC,174536884
2022/06/01 11:24:23 UTC,174536884
2022/06/01 11:24:24 UTC,174536884
2022/12/27 09:01:22 UTC,205985086
2023/04/05 15:17:24 UTC,239156346
2023/02/22 20:47:05 UTC,243158966
2023/02/15 05:19:40 UTC,231524203
2023/04/06 19:45:15 UTC,239156346
2023/04/05 15:17:30 UTC,239156346
2023/04/05 15:17:25 UTC,239156346
2023/04/05 15:17:30 UTC,239156346
2023/04/05 15:17:24 UTC,239156346
2023/04/05 15:17:31 UTC,239156346
2021/05/01 06:16:51 UTC,120281224
2022/01/26 18:59:16 UTC,175520443
2021/05/01 06:16:51 UTC,120281224
2023/04/05 15:17:24 UTC,239156346
2021/12/15 03:49:41 UTC,121149974
2022/03/22 07:38:24 UTC,177766873
2023/04/05 15:17:30 UTC,239156346
2021/12/03 05:44:50 UTC,159719223
2022/03/17 10:24:01 UTC,178587623
2022/02/12 22:27:07 UTC,178739023
2023/03/17 04:57:41 UTC,247291966
2023/03/21 10:12:10 UTC,247291966
2021/10/07 07:29:05 UTC,141774316
2023/03/17 04:57:44 UTC,247291966
2023/03/17 04:57:43 UTC,247291966
2023/02/21 20:58:05 UTC,238121906
2023/03/21 10:12:09 UTC,247291966
2021/12/28 00:38:02 UTC,168917993
2023/03/16 02:21:49 UTC,237046556
2023/03/16 02:21:50 UTC,237046556
2023/03/16 02:21:47 UTC,237046556
2022/10/03 19:15:40 UTC,188056554
2023/04/06 19:47:06 UTC,239156346
2022/10/21 00:50:12 UTC,186812354
2022/05/22 10:30:12 UTC,143185623
2021/09/06 16:40:38 UTC,137831416
2022/07/14 03:38:27 UTC,196089493
2022/07/14 03:38:36 UTC,196089493
2022/07/27 06:23:52 UTC,196089493
2022/09/04 21:01:38 UTC,184085504
2021/11/05 19:16:39 UTC,163757693
2021/05/31 05:43:29 UTC,140019823
2022/08/24 15:25:15 UTC,197539043
2022/09/11 04:40:11 UTC,201524086
2021/05/06 12:03:40 UTC,137022523
2022/07/20 23:46:14 UTC,202735693
2022/08/05 13:57:13 UTC,180993954
2022/07/20 23:49:54 UTC,202735693
2022/07/20 23:49:55 UTC,202735693
2022/07/20 23:49:44 UTC,202735693
2022/07/20 23:46:06 UTC,202735693
2022/07/20 23:50:04 UTC,202735693
2022/07/20 23:49:54 UTC,202735693
2022/07/21 07:25:40 UTC,179549704
2021/05/04 07:36:46 UTC,124200323
2021/05/04 07:35:57 UTC,124200323
2022/08/27 17:41:22 UTC,206995043
2022/08/27 08:55:36 UTC,206995043
2022/10/14 20:48:00 UTC,206995043
2022/08/27 03:02:46 UTC,206995043
2022/08/27 17:40:55 UTC,206995043
2023/04/13 12:42:31 UTC,206632754
2023/04/13 12:42:30 UTC,206632754
2022/01/07 06:09:34 UTC,116771323
2022/05/25 00:14:37 UTC,135334616
2021/06/29 07:20:34 UTC,126034126
