Tested On,Name,Description,Score
Jun 2014,CGPA,,8.15
Jan 2020,TOEFL,Score Break Up : Out Of 30  Reading   :  20  Listening  : 18 Speaking :  27 Writing.    :  25,90
Dec 2019,GRE,Verbal Reasoning            :   143 Quantitative Reasoning  :   156 Analytical Writing            :    3.0,299
