Challenge Date,IP Address,User Agent,Country,Challenge Type
Tue Jul 06 15:00:07 UTC 2021,103.5.134.34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",India,CAPTCHA_CHALLENGE
Tue Jul 20 08:21:02 UTC 2021,103.5.134.34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.114 Safari/537.36",India,CAPTCHA_CHALLENGE
Mon Aug 02 07:07:11 UTC 2021,8.42.98.9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",United States,EMAIL_PIN_CHALLENGE
Wed Aug 04 11:30:31 UTC 2021,121.241.119.244,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/92.0.4515.107 Safari/537.36 Edg/92.0.902.62",India,EMAIL_PIN_CHALLENGE
Fri Feb 04 02:59:25 UTC 2022,8.42.98.9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76",United States,CAPTCHA_CHALLENGE
Fri Feb 04 03:00:32 UTC 2022,2405:201:d021:4070:f569:896b:2556:3af2,"Mozilla/5.0 (iPhone; CPU iPhone OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [LinkedInApp]",India,EMAIL_PIN_CHALLENGE
Fri Feb 04 03:01:07 UTC 2022,8.42.98.9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36 Edg/97.0.1072.76",United States,CAPTCHA_CHALLENGE
Tue Feb 08 05:52:15 UTC 2022,2405:201:d021:4070:d5d8:c373:5f13:1d34,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/97.0.4692.99 Safari/537.36",India,EMAIL_PIN_CHALLENGE
Wed Jul 20 14:44:41 UTC 2022,8.43.80.9,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.5060.114 Safari/537.36 Edg/103.0.1264.62",United States,EMAIL_PIN_CHALLENGE
